sample_id	level	correlation
AK091-4019	transcript	0.5745346952507386
AK221-2099	transcript	0.5982175617078613
CB051-1108	transcript	0.4905051566765962
CC291-1856	transcript	0.5924518053130154
CC241-1601	transcript	0.5460665394185786
CC241-6235	transcript	0.5691442191336851
CC241-3082	transcript	0.5900706734715901
CL171-4019	transcript	0.5669392429087519
CF201-2099	transcript	0.6043917896749398
BB201-4018	transcript	0.5466114231142456
CL171-5032	transcript	0.593714672050589
CG071-4018	transcript	0.5861385005037631
CC311-3082	transcript	0.6014361374475028
CJ092-4018	transcript	0.5645686994072447
BB201-4155	transcript	0.5579763679978774
CJ092-4022	transcript	0.5880752404220727
CI221-2099	transcript	0.5965537680586447
BH131-4019	transcript	0.5570276199620767
BG091-0160	transcript	0.6135360637520453
CA081-3170	transcript	0.580358307500393
CG171-1108	transcript	0.5416820920408797
BK021-0087	transcript	0.5759873555290419
BH131-4002	transcript	0.5653166203241634
BB201-1584	transcript	0.5593337770929199
CJ092-0160	transcript	0.5513956845600942
BA251-0160	transcript	0.5664099087186266
CG041-1392	transcript	0.5678978127941849
AJ221-1601	transcript	0.5990122300531296
BA231-3082	transcript	0.5940073173005356
AJ211-0160	transcript	0.6166925374063597
AK091-4018	transcript	0.56444509540176
AK091-3082	transcript	0.5924879751032585
CF301-0262	transcript	0.5292666002382183
AK231-4018	transcript	0.5544878446587793
CH082-1108	transcript	0.5642241854702025
CJ111-5415	transcript	0.5940484000801044
CI222-2099	transcript	0.5970767769425886
AK231-4022	transcript	0.5378942450277727
CC201-5156	transcript	0.5899500048707569
AJ142-1053	transcript	0.5730843090871275
CJ092-6235	transcript	0.5719345147714705
CK031-4018	transcript	0.5778246183968918
AK231-4003	transcript	0.5553689541141545
CB271-4155	transcript	0.5334918188167015
BC181-2099	transcript	0.55199189239213
CC241-6246	transcript	0.5668001284259787
AL121-0378	transcript	0.6054393967333005
AK112-4022	transcript	0.5868431143772133
CJ231-2099	transcript	0.56048394532813
CC311-1601	transcript	0.5868113602878051
AK221-0160	transcript	0.5831371299585303
CF301-1236	transcript	0.571329314792036
CA121-0160	transcript	0.5821816137341036
CE161-1601	transcript	0.5994341819373376
AK091-1601	transcript	0.513566583403064
BB201-4003	transcript	0.5675796800888597
BC161-0160	transcript	0.5764382183611646
CC311-5156	transcript	0.5890473850729404
CJ151-0160	transcript	0.601285696542078
BA231-4155	transcript	0.576357798870388
AJ141-1053	transcript	0.5696855458327824
CI211-2099	transcript	0.5876734731175793
BJ191-0378	transcript	0.5681628864119247
CC241-1710	transcript	0.5371219271298897
CL111-1470	transcript	0.5553459459529895
CG071-1601	transcript	0.5708206485354849
BA132-1392	transcript	0.5724697693966967
AK112-4003	transcript	0.5893683589738674
AK112-0262	transcript	0.5831735674648233
BC181-0262	transcript	0.6005826057354188
BE161-1710	transcript	0.5451515133663103
