group	group_label	group_color	transcript_type	transcript_label	sample_size	mean_detection_ratio	incremental_detection_ratio
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	6	0.8202128035558238	0.06007691766300127
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	7	0.8734517851556884	0.05323898159986462
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	8	0.9199301224226388	0.04647833726695039
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	9	0.9618199776113115	0.04188985518867272
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	10	1.0	0.03818002238868845
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	1	0.4844432107985254	0.4844432107985254
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	2	0.6324730795864555	0.14802986878793006
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	3	0.723992462019487	0.09151938243303148
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	4	0.7883872347188293	0.06439477269934235
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	5	0.8395959835572305	0.05120874883840121
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	6	0.8815296098156171	0.04193362625838659
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	7	0.9175009012751786	0.03597129145956146
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	8	0.9490229818804384	0.03152208060525985
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	9	0.9766123614373644	0.027589379556925975
Heart_Right_Atrium	Heart right atrium	#8466A6	known	Annotated	10	1.0	0.023387638562635593
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	1	0.3157983155660636	0.3157983155660636
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	2	0.4758782778348419	0.1600799622687783
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	3	0.5907281234545814	0.11484984561973949
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	4	0.6784020729881298	0.08767394953354846
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	5	0.7513736197821494	0.07297154679401963
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	6	0.8140339666429898	0.06266034686084032
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	7	0.8690726558045686	0.055038689161578835
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	8	0.918129365971465	0.04905671016689639
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	9	0.9620280393844406	0.0438986734129756
Heart_Right_Atrium	Heart right atrium	#8466A6	novel	Novel	10	1.0	0.03797196061555941
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	1	0.5025948386748917	0.5025948386748917
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	2	0.634938940595276	0.13234410192038426
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	3	0.7211145623191542	0.08617562172387816
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	4	0.7832164829705371	0.06210192065138298
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	5	0.8347662245856038	0.05154974161506665
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	6	0.876869207708985	0.04210298312338123
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	7	0.91207779421476	0.035208586505774964
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	8	0.945839572671233	0.03376177845647299
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	9	0.9743226105213088	0.028483037850075776
Heart_Right_Ventricle	Heart right ventricle	#A780A0	known	Annotated	10	1.0	0.025677389478691248
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	1	0.3196871634866259	0.3196871634866259
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	2	0.4700261403108096	0.15033897682418368
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	3	0.5814908731902088	0.11146473287939918
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	4	0.6680975792614717	0.08660670607126297
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	5	0.7427889093866792	0.07469133012520746
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	6	0.8057616141741509	0.06297270478747174
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	7	0.8595917757745315	0.053830161600380566
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	8	0.91226582865005	0.05267405287551852
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	9	0.9580278243596052	0.04576199570955519
Heart_Right_Ventricle	Heart right ventricle	#A780A0	novel	Novel	10	1.0	0.04197217564039479
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	1	0.5007370831347346	0.5007370831347346
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	2	0.6402889352702006	0.13955185213546595
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	3	0.7243604355060457	0.08407150023584509
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	4	0.7878222763154801	0.0634618408094344
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	5	0.8376267687277005	0.0498044924122204
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	6	0.8807642663000633	0.04313749757236285
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	7	0.916943345596154	0.036179079296090655
Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	known	Annotated	8	0.9477205422660137	0.030777196669859674
