sample	MDS1	MDS2	Tissue	Tissue_Color_Code	batch
GTOP-CB271-1584-LN-N1C6	-5.61631215318548	-10.4545712269661	Colon	E7C08D	Z251003024
GTOP-CB271-1601-LN-GV66	-16.7243570846251	6.37208566871744	Stomach	F8D895	Z251003024
GTOP-CB271-1710-LN-CZ7Q	0.113228415824194	-18.5784562636119	Esophagus	AF8C5C	Z251003024
GTOP-CB271-4022-LN-T3X6	9.16974168758988	-16.3574527517475	Heart_Mitral_Valve	BA91BC	Z251003024
GTOP-CB271-4155-LN-SJT3	14.1443329069198	-12.9657975835494	Aortic_Arch	758E90	Z250430021
GTOP-CB281-3082-LN-4FDQ	-19.2473178855802	-49.8910857668232	Spleen	768454	Z251003024
GTOP-CC131-0262-LN-6II7	8.65186625658552	-8.09043079304608	Skin	3A71A4	Z251003024
GTOP-CC131-3082-LN-9G7G	-23.3554426994412	-49.0933523475572	Spleen	768454	Z251003024
GTOP-CC201-3170-LN-A2ZW	-11.9525767426702	-37.6095664673241	Lymph_node	ACAA95	Z251003024
GTOP-CC201-5156-LN-3MVY	-9.72535954231377	-22.6823274595823	Lung_Apex	76ADB8	Z251003024
GTOP-CC241-1470-LN-ST0L	-7.48037394714396	-0.595570996630485	Small_Intestine	535426	Z251003024
GTOP-CC241-1584-LN-CE9K	-8.11438713552594	-9.51250025406444	Colon	E7C08D	Z251003024
GTOP-CC241-1601-LN-RF35	-2.91323968418768	0.667998112747841	Stomach	F8D895	Z251003024
GTOP-CC241-1710-LN-2QA5	1.71117741237235	-8.79855012921856	Esophagus	AF8C5C	Z251003024
