gene	gene_id	module_MEnumber	module_Color
112900	ENST00000845413.1	ME1	turquoise
112902	ENST00000845446.1	ME1	turquoise
112903	ENST00000845485.1	ME2	blue
112904	ENST00000845486.1	ME1	turquoise
112905	ENST00000845725.1	ME1	turquoise
112915	ENST00000845931.1	ME1	turquoise
112919	ENST00000845971.1	ME18	lightgreen
112920	ENST00000845987.1	ME3	brown
112921	ENST00000846018.1	ME2	blue
112922	ENST00000846039.1	ME2	blue
112923	ENST00000846040.1	ME2	blue
112926	ENST00000846135.1	ME1	turquoise
112927	ENST00000846149.1	ME1	turquoise
112928	ENST00000846153.1	ME1	turquoise
112929	ENST00000846178.1	ME1	turquoise
112930	ENST00000846189.1	ME1	turquoise
112931	ENST00000846196.1	ME1	turquoise
112932	ENST00000846197.1	ME2	blue
112933	ENST00000846198.1	ME2	blue
112935	ENST00000846218.1	ME3	brown
112938	ENST00000846247.1	ME2	blue
112940	ENST00000846250.1	ME2	blue
112941	ENST00000846280.1	ME2	blue
112942	ENST00000846282.1	ME8	pink
112943	ENST00000846283.1	ME8	pink
112944	ENST00000846284.1	ME16	lightcyan
112946	ENST00000846286.1	ME8	pink
112947	ENST00000846287.1	ME8	pink
112948	ENST00000846288.1	ME8	pink
112950	ENST00000846291.1	ME1	turquoise
112951	ENST00000846292.1	ME1	turquoise
112953	ENST00000846347.1	ME1	turquoise
112954	ENST00000846354.1	ME1	turquoise
112956	ENST00000846378.1	ME1	turquoise
